theme,text
aforizmi,"Девушка, позвольте не будучи представленным,
полюбопытствовать на предмет пое%стись.


"
aforizmi,"Праздники кончаются для всех по-разному: для рабочего класса – в
винегрете, для интеллигенции – в салате оливье.


"
aforizmi,"Наши желания всегда ограниченны чьими-то возможностями


"
aforizmi,"Столб нельзя перепрыгнуть, но можно обойти


"
aforizmi,"Препода куда ни целуй -везде жопа


"
aforizmi,"С тех пор, как он потерял все деньги, половина его друзей больше его не
знают. Остальные не знают, что он потерял деньги.


"
aforizmi,"У мужчин крыша чаще всего едет из-за слабого пола.


"
aforizmi,"У него все как-то не клеилось. Даже любовь шла через жопу...


"
aforizmi,"Бабы всегда приходят к ""бабкам"". Но никогда наоборот :-(


"
aforizmi,"у меня непритязательный вкус: мне вполне достаточно самого лучшего


"
aforizmi,"Моя пи%&а/елда - мое богатство!


"
aforizmi,"Власть не любит, когда ей начинают качать права человека.

Валентин Домиль.


"
aforizmi,"Оптимизм - это недостаток инфорации.


"
aforizmi,"Воронам всегда найдется, о чем каркать.


"
aforizmi,"Политика - самое быстрое средство выйти заднице на передний план.


"
aforizmi,"Не залупайся и не судим будешь.

---(Rubanok-187)---


"
aforizmi,"Врач Уродолог


"
aforizmi,"Шевели извилиной! Ты же проститутка, а не доцентша.


"
aforizmi,"Верность - это промежуток между двумя изменами.
""Саша+Маша""


"
aforizmi,"Чувство голода плохо влияет на чувство юмора


"
aforizmi,"Хочется жениться, но еще ""не стоишь крепко на ногах"",
а становишься на ноги - хочется убежать.


"
aforizmi,"Часто играл сам с собой в шахматы, но в основном проигрывал


"
aforizmi,"Когда мужчина говорит не то, что думает, а женщина что думает, то и
говорит - краснеть, как правило, приходится за обоих.


"
aforizmi,"Кто сказал, что ""Рондо"" сближает? Сближает водка, а ""Рондо"" только
позволяет скрыть следы ее употребления.


"
aforizmi,"Да это же так просто, как два байта переслать!!


"
aforizmi,"Самый первый закон Ньютона: яблоко от яблони недалеко падает.


"
aforizmi,"Мудрый не тот, кто много размышляет о великом, а тот, кто мало думает
о мелочах.
Сян-цзы


"
aforizmi,"Нельзя ориентироваться на общественное мнение, это не маяк, это -
блуждающие огни


"
aforizmi,"- Чес-слово, такого больше не повторится, - она дала слово чести и
со спокойной душой отправилась к себе в номер.


"
aforizmi,"Чужая душа - как чужой погреб. Темно, но если пощупать, то можно
найти много интересного....


"
aforizmi,"Одна голова хорошо, две - лучше, а три - уже повод выпить.


"
aforizmi,"вздохнул и не выдохнул


"
aforizmi,"Hадо сходить замyж, чтоб понять, что ты там никого не знаешь.


"
aforizmi,"Пост - это воля к обедне!


"
aforizmi,"Если лобовая атака не удалась, то надо переходить к мозговому штурму.


"
aforizmi,"Береги честь смолоду, а платье - после встречи с президентом.
(М. Левински)


"
aforizmi,"Если перхоть шевелится, значит это вши!


"
aforizmi,"Напрасно думает пилот, что не подействует трава...


"
aforizmi,"У иных гаишников такие рожи, что они вполне могут заменить дорожные
знаки ""Проезд запрещен"".


"
aforizmi,"Один в попе не воин!


"
aforizmi,"Когда меня спрашивают ""Хочешь пойти покурить?"", я всегда интересуюсь
""С Вами или вообще?"".


"
aforizmi,"В зачетную сессию мозги работают как стиральный порошок в горячей воде, а в
экзаменационную - происходит переключение на отжим.


"
aforizmi,"Когда я пытаюсь что-нибудь вспомнить, на память приходит только диагноз
- склероз.


"
aforizmi,"Некоторые люди как голуби - их немного подкормишь, а они уже готовы тебе
на голову сесть.


"
aforizmi,"Нечего  на  Чубайса  пенять, ведь  он  же  памятник!!!
Виталий Мартынов


"
aforizmi,"Мудренок - просто умный ребенок.


"
aforizmi,"Пора бы и честь сдать!..


"
aforizmi,"Девушки бывают с заводом и с отводом.


"
aforizmi,"Люблю разносторонних женщин - хоть какое-то разнообразие в половой жизни...


"
aforizmi,"Если говорят, что ""на зад дороги нет"", это значит, что и на перед
вам обещают немало приключений.


"
aforizmi,"ФИЛЛИПС- Изменим жизнь к лешему!


"
aforizmi,"Лучше не сделать то, что хочешь, чем делать то, что не хочешь.


"
aforizmi,"Женская логика сравнима с богом. Некоторые в него верят, но никто
не видел.


"
aforizmi,"Зло (evil) - это жизнь (live), если прочитать наоборот.


"
aforizmi,"Если о тебя затушили ""трубку мира"" - это война.


"
aforizmi,"На Западе полиция стремится дела раскрыть, а у нас милиция - закрыть


"
aforizmi,"День прошел безразвратно


"
aforizmi,"Тяжело сгонять муху курсором с монитора.


"
aforizmi,"Художника обидеть может каждый, зато художник - сразу всех!


"
aforizmi,"счастье русского человека заключается в горе его соседа


"
aforizmi,"Найти врага сегодня просто, а газ добыть, ох, как непросто


"
aforizmi,"Туфтометр - детектор лжи...


"
aforizmi,"Понедельник.
Утро.
В раздевалке : Мужики , скоро опять конец недели - послезавтра уже среда!


"
aforizmi,"Все-таки Фемида была истинной женщиной: кто еще бы додумался взвешивать
с завязанными глазами и при этом не допускать сомнений!


"
aforizmi,"Если считать, что ""норковая шубка"" - это шубка вокруг ""норки"", то все
женщины ее имеют, мужики хотят иметь, а женщины хотят иметь еще одну.


"
aforizmi,"НЕ ТАК СТРАШЕН БИЛЛ, КАК ЕГО КЛИНТОН....


"
aforizmi,"Реальная фраза из лекции: ""Для того чтобы спасти жизнь космонавтам при
аварийном старте, их просто отстреливают...""


"
aforizmi,"Ты кто?
-Я хакер.ша, - ответила она
-Странное расширение, - подумал он..


"
aforizmi,"Я думаю, что хуже, чем жестокость сердца, может быть лишь одно качество
- мягкость мозгов. Теодор Рузвельт.


"
aforizmi,"Дла тех, кто не понимает афоризмы, снимают мыльные оперы!


"
aforizmi,"Не говоришь по русски - сиди в кутузке.


"
aforizmi,"Не до сук.


"
aforizmi,"Дураки с ума не сходят.


"
aforizmi,"А вот интересно, приходят ли Джорджу Бушу приглашения учиться
на курсах Центра Американского Английского?


"
aforizmi,"Звон в ушах пробуждает совесть, а искры в глазах просветляют ум. Только
ударять надо аккуратно.


"
aforizmi,"Какова ряха, такова и рубаха.


"
aforizmi,"Камо гЛядеши


"
aforizmi,"Наше общество уже созрело для того, чтобы получить статус общества с
ограниченной ответственностью.


"
aforizmi,"Последний раз я его видел на фотографии.


"
aforizmi,"Тюрьма - камера хранения преступников.


"
aforizmi,"Тайна, покрытая раком...
Тайна, покрытая матом...
Тайна, покрытая лаком...
Тайна, пропитая братом...


"
aforizmi,"В стране, где водка дешевле закуски, народ перестает гнать самогонку и
начинает выращивать огурчики и прочую хрень, что неминуемо ведет к
полному развалу сельского хозяйства и подорожанию водки.


"
aforizmi,"Хороший ты парень - с одной стороны,
но х%й тебе в жопу - с другой стороны !


"
aforizmi,"Кто был ничем - достал совсем.


"
aforizmi,"Товарищи начальники отделов, женщин надо использовать по
прямому назначению...


"
aforizmi,"Что хуже: когда человек умен, да дурен, или когда дурен, да умен?


"
aforizmi,"Если ученье - свет, то Чубайс - министр образования.


"
aforizmi,"Товарищ, пройдемте для выяснения наличности


"
aforizmi,"За чашкой NESCAFFE даже самые сокровенные мечты превращаются  в
слова,
а за бутылкой водки - они превращаются в действия!


"
aforizmi,"Развлекаться можно по-разному, в том числе и с женщинами.


"
aforizmi,"Калория – Туалет в Пиццерии.


"
aforizmi,"У индейцев все девки красные.


"
aforizmi,"Не так плохо то, что любители охоты убивают животных, как то, что они
получают от этого удовольствие.


"
aforizmi,"Первый com - блином!


"
aforizmi,"Плюньте на тех, кто смотрит на Вас с высоты своего прозябания.


"
aforizmi,"Битие опpеделяет сознание.


"
aforizmi,"Афоризм, провозглашающий бессмысленность смены половых партнеров
для женщин: х%й на х%й менять - только время терять.


"
aforizmi,"Клинское клинским вышибают


"
aforizmi,"Рецепт: возьмите одну женщину, одного мужчину, одного священника,
смешайте, подогрейте и у вас на столе судебное дело


"
aforizmi,"Нет предела совершенству. Поэтому и не пытайтесь его достичь.


"
aforizmi,"Принципиальное отличие робота от человека в том, что никакая кормушка
не заменит роботу источник питания.


"
aforizmi,"Рано радуешься, бритоголовый!.. Я не негр, я просто шахтер..


"
aforizmi,"Не всякая палка бывает о двух концах.


"
aforizmi,"Экономить свое время лучше всего за счет хужого


"
aforizmi,"Я мог бы выдавить из себя раба, но рабовладельца – ни за что!


"
aforizmi,"Лозунг ананистов - ""Будущее России в наших руках""


"
aforizmi,"с утра даже у крохи в рот не брала


"
aforizmi,"товары широкого утробления


"
aforizmi,"Не все ком, что в горле стоит.


"
aforizmi,"Женский фундаменьализм: любовь с первого взгляда, в ЗАГС после первого
раза.


"
aforizmi,"Все в этой жизни относительно - в ломбард


"
aforizmi,"Чья это девушка? Ничья? Чтож, я согласен на ничью...


"
aforizmi,"Отказ - это предложение поднять цену


"
aforizmi,"Женщинам:
Требуйте долива спермы после отстоя пениса.


"
aforizmi,"Корень зла всегда находится наверху.


"
aforizmi,"Онанисты! Лучше синица в руках!
(Михаил Бару)


"
aforizmi,"Ничто так не увлекает женщину от мужчины,как эмансипация.


"
aforizmi,"Не будите во мне зверя, дайте человеку поспать!


"
aforizmi,"Обида - это острое внутреннее несогласие с неизбежностью того, чего ты
сам упорно добивался.


"
aforizmi,"Человек, как птица - может петь красивые песни и одновременно гадить.


"
aforizmi,"Там Билли Гейтц над баксом чахнет ...
Там Microsoft.
Там глюком пахнет


"
aforizmi,"Рано поздно не бывает.


"
aforizmi,"Женщина - это генератор случайных мыслей.


"
aforizmi,"Нога - всему голова


"
aforizmi,"спящая (за деньги) красавица


"
aforizmi,"Лучшевыпить литр пива, чем не выпить литр пива...


"
aforizmi,"Красотой можно разок завлечь мужчину в постель, но во  второй
раз это получится, если он или очень молод, или весьма глуп.


"
aforizmi,"Потому и держат народ в темноте, что ему все до лампочки.


"
aforizmi,"Из тезисов народного избранника.
""Мир- народам, земля - крестьянам, Ауди - к подьезду.""


"
aforizmi,"Чтобы выгодно вложить деньги, надо сначала выгодно украсть деньги.


"
aforizmi,"Мобильный телефон для аксессуаров.


"
aforizmi,"Наложница - сотрудница налоговой службы... (навеяно появлением таковых в
организации)


"
aforizmi,"Интеллигентность и закомплексованность - по сути равнозначные понятия.


"
aforizmi,"Ничто так не способствует успеху, как неудачи.


"
aforizmi,"Пойдем вечером пива выпьем. Ты что, дурак - сейчас же утро.


"
aforizmi,"""Мне человека обидеть - раз плюнуть"" - сказал верблюд.


"
aforizmi,"Если ты знаешь о жизни все, значит, ты уже умер.


"
aforizmi,"Пятновыводитель ""Ваниш"" - мгновенно выводит... из равновесия.


"
aforizmi,"В политике чистые руки - редкость, горячее сердце - роскошь, а холодная
голова - только после контрольного выстрела.


"
aforizmi,"Я не могу спокойно смотреть когда меня трахают, я либо за, либо против!


"
aforizmi,"В своем семейном бюджете я чувствую себя образованием и культурой.


"
aforizmi,"Путь лежащий через желудок ведет к прямой кишке.


"
aforizmi,"Глаз - за глаз, зуб - за зуб. А если дерутся гинекологи?


"
aforizmi,"Если ум прячется за разум, то предает язык!


"
aforizmi,"Подходя к очереди, вежливый человек спросит - ""Кто последний?"", а наглый
- ""Кто первый?""


"
aforizmi,"И рыбку съесть и ... дело мастера боится !


"
aforizmi,"В ответ на афоризм No1 от  05 декабря, 2003 г.

Если в кране нет воды - вы попали во Владивосток...


"
aforizmi,"Женщина - не человек. Она явление природы.


"
aforizmi,"Кто такой настоящий тимуровец?
Тот, кто послал на %уй и помог дойти.


"
aforizmi,"Молодежи следует разъяснять правильное значение слова ""менуэт"".


"
aforizmi,"Он не мудозвон - это мелочь в кармане гремит...


"
aforizmi,"Усложняя паутину, пауки совершенствуют мух.


"
aforizmi,"Верить в любовь можно, но доверять ей нельзя.


"
aforizmi,"Зачем идти в светлое будущее, если можно вернуться
в светлое прошлое?


"
aforizmi,"Я боялся его как Черт Буш Бена Ладана.


"
aforizmi,"Когда мужчина сразу же после развода женится вновь - это уже азарт!


"
aforizmi,"Чистоту совести можно сохранить, даже постоянно находясь по уши в
дерьме, и невозможно сохранить, всего лишь раз наложив в штаны.


"
aforizmi,"В жизни человек должен попробовать все и решить, нужно это ему или нет.
Кто-то не все пробует, а кто-то, попробовав, уже не может правильно
решить.


"
aforizmi,"Мечта генетика - сделать из мухи слона.


"
aforizmi,"Женщину сложно уложить в схему, куда проще - в койку.


"
aforizmi,"Новый год - мужской праздник. Мужчины радуются, подсчитывая выпитое,
а женщины грустят, подсчитывая годы.


"
aforizmi,"МЫ РАССТАЛИСЬ, ТАК КАК НЕ СОШЛИСЬ ДИАГНОЗАМИ


"
aforizmi,"Не девушка красит вещь, а вещь девушку.


"
aforizmi,"Так стоп, девушка, не морозте мне голову...


"
aforizmi,"У тебя что, башки на голове нет?
Я тебя руками загрызу!!!!


"
aforizmi,"Если мне покажут натуральных блондинов и рыжих среди негров
и китайцев, тогда я отрекусь от национализма


"
aforizmi,"Поэт в России больше чем... композитор.


"
aforizmi,"Уж пусть лучше третируют товарищеским судом, чем четвертуют хором.


"
aforizmi,"У нас в стране произошел рост доходов. В среднем где-то 3 дохода
на 10 нормальных человек.


"
aforizmi,"После проблемы 17-го года, проблема 2000 России уже не страшна


"
aforizmi,"Когда бордель перестает приносить доход, то на улицу
выгоняют бл&дей, а не переставляют мебель


"
aforizmi,"Где же то время, когда спать со зверями называлось
детством, а не извращением ???


"
aforizmi,"Помирать, так с музыкой! А лучше всего под Дунаевского.

(с) Житель чуйской долины.


"
aforizmi,"Если родился в России - в прошлой жизни совершил что-то очень плохое:)


"
aforizmi,"Сверхчеловечишка


"
aforizmi,"Что общего между птичьим молоком и птичьим гриппом?
То и другое сделано людьми для себя.


"
aforizmi,"Частное лицо - это приватизировавшаяся морда.


"
aforizmi,"Коллективный разум победил: афоризмы зачинали в групповухе, по очереди
и хором.


"
aforizmi,"Говорит автоответчик. К сожалению, абонент не в состоянии принять ваш
звонок, поскольку уже слишком много принял.


"
aforizmi,"Если отношения - натянутые, то стоит ли их проверять на прочность?


"
aforizmi,"Беспредел в криминальном мире: чеченский террорист захватил автобус с
чеченскими террористами.


"
aforizmi,"- с наступающим!
- и тебя с тем же и туда же!


"
aforizmi,"Кризис среднего возраста: живу с одной, сплю с другой, а хочу третью.

Nord


"
aforizmi,"Станция Лyбянка. Телепоpт на станцию Кyзнецкий Мост.


"
aforizmi,"Русским хочется выпить обычно только в двух
случаях: когда есть деньги и когда их нет...


"
aforizmi,"Чем сложнее задача, тем проще ее не решать.


"
aforizmi,"А если к сердцу путь закрыт, надо в почки постучать.


"
aforizmi,"Чем больше женщину мы любим, тем больше шансов у других...
Juvdead


"
aforizmi,"Наш паровоз вперед ЛЕТИТ... на мине подорвался


"
aforizmi,"""НЕТ"" означает НЕТ
""НЕ СЕЙЧАС"" означает НЕТ
""У МЕНЯ ЕСТЬ ПОДРУЖКА/ДРУГ"" означает НЕТ
""МОЖЕТ БЫТЬ ПОЗЖЕ"" означает НЕТ
""НЕТ, СПАСИБО"" означает НЕТ
""ТЫ НЕ В МОЁМ ВКУСЕ"" означает НЕТ
""ОТВАЛИ"" означает НЕТ
""Я БЫ ХОТЕЛ/ХОТЕЛА ПОБЫТЬ В ОДИНОЧЕСТВЕ"" означает НЕТ
""ТЫ МНЕ ДЕЙСТВИТЕЛЬНО НРАВИШЬСЯ, НО..."" означает НЕТ
""ДАВАЙ ЛУЧШЕ ПРОСТО ПОСПИМ"" означает НЕТ
""Я НЕ УВЕРЕН/УВЕРЕНА"" означает НЕТ
МОЛЧАНИЕ означает НЕТ
""______"" означает НЕТ

ИЗНАСИЛОВАНИЕ - не понимание НЕТ


"
aforizmi,"Ворону бог послал ...


"
aforizmi,"С грехом пополам вышла замуж.


"
aforizmi,"Зима - сезон в котором люди пытаются сохранить такую же температуру в
доме, какая она была летом, когда они жаловались на жару.


"
aforizmi,"Большинство секретов оказываются в конце концов секретами голой ж$пы
или какой-нибуть глупости.


"
aforizmi,"- Гюльчатай, открой личико! Ах, это ты, Абдулла? Ты мне тоже нравишься.


"
aforizmi,"- Кто смеется последним?
- Тот, кто соображает медленнее всех.


"
aforizmi,"Как хороши, как свежи были Розы.
Абрамы тоже были ничего...


"
aforizmi,"Широта моей души не знает пределов вашей благодарности.


"
aforizmi,"Женщина должна быть всесторонне выдающейся: и спереди и сзади.


"
aforizmi,"Нам ни на что не хватает времени. Пора уже идти на очередной праздник,
а мы еще не отошли от внеочередного траура.


"
aforizmi,"хирургическое замешательство...


"
aforizmi,"Гинекологичесое кресло-качалка


"
aforizmi,"Закон Уистлера. Никогда не известно, кто прав, но всегда известно, кто
главный.


"
aforizmi,"Нет ничего более чужого, чем бывшее свое.


"
aforizmi,"Бракоразводный процесс всегда начинается с небольшого жизненного
абсцесса.


"
aforizmi,"Выйти на тропу любви


"
aforizmi,"Средневековый головной убор - гильотина. (Лука Мытищев)


"
aforizmi,"Если бы каждый кто дал вам совет как жить, вместо этого посадил хоть
одно дерево, то уже сейчас заасфальтированный участок земли охранялся бы
государством как заповедник.


"
aforizmi,"Покажи проблемам язык - и они подставят тебе свой зад, чтобы ты лизал...
А ты вместо лизания хорошо пни их под этот зад!!!


"
aforizmi,"Не ссы в COM-port


"
aforizmi,"Русский человек настолько терпелив, что кариес у него нередко переходит
в гангрену.


"
aforizmi,"Ключи от квартиры, где девки лежат.


"
aforizmi,"- Он обязательно подведет...
- О, да! Он такой обязательный!


"
aforizmi,"Я вас любил, потом лечился долго.


"
aforizmi,"Хорошо варить может только горячая голова...


"
aforizmi,"Посади девушку на колени, а на шею она сама залезет.


"
aforizmi,"лозунг К 4-летию ""Анекдотов из России"":

""Вернер дорогой идете, товарищи!!!""


"
aforizmi,"Самое дорогое, что у нас есть - это мораль. Стоит только публично
высказать в какое-нибудь VIP-лицо несколько слов правды, как оно
тут же требует через суд несколько миллионов долларов за нанесенный
ему моральный ущерб.


"
aforizmi,"Не можешь плавать, не мучай море...


"
aforizmi,"Не исключено что утроение ВВП к 2008 реальнее его удвоения к 2010


"
aforizmi,"У страха глаза велики, да и вони не мало.


"
aforizmi,"Самая большая инфляция вовсе не у рубл&, а у частоты процессора.


"
aforizmi,"многие думают, а я так недумаю...


"
aforizmi,"Надпись в туалете
""У нас не СОРЯТ, у нас ГАДЯТ!""


"
aforizmi,"Вам земля не жмет?


"
aforizmi,"В некоторых случаях красивые женские зубы оказываются еще и острыми.
Особенно - в самых некоторых случаях.


"
aforizmi,"Кривая социального развития нашего общества устремлялась до сих пор по
эвольвенте. Но лишь в наши дни она успешно выраждается в Архимедову
спираль.


"
aforizmi,"Не беда, когда вместо хлеба лебеда, беда, когда нет либида!


"
aforizmi,"Пока ты говоришь совсем не то, что думаешь, слушаешь совсем не то,
во что веришь, и делаешь совсем не то, к чему расположен - то все это
время и живешь совсем не ты.
Сян-цзы


"
aforizmi,"Если тебе не завидуют, то ты ничего не стоишь.


"
aforizmi,"- За что вы не любите чиновников?
- За их руки, у меня аллергия на шерсть!


"
aforizmi,"Я мерзну... сука любовь....
(Sэm)


"
aforizmi,"Обручальное кольцо - это символ змеи, хватающей себя за хвост.


"
aforizmi,"Человек человеку - VIP.


"
aforizmi,"Порой, кажется, что твоя жизнь это несчастный случай, растянутый на
десятилетия.


"
aforizmi,"Не еб* жену брата и сотрудников аппарата.


"
aforizmi,"ПлАчу, но хуячу!


"
aforizmi,"Кучмагейт по украински - Кучма геть!


"
aforizmi,"Революционная ситуация в семье -
то верхи не могут, то низы не хотят...


"
aforizmi,"""Я не понимаю""
Если ""черный ящик"" в самолете сделан из неподвергающегося
разрушению материала, почему из него не делают весь самолет?


"
aforizmi,"Каждый человек - как барон Мюнхаузен: вытаскивает себя за косичку сам из
какого-то дерьма, да еще и пол-коня в придачу.


"
aforizmi,"Природа не терпит болтовни. Нынешнее похолодание - ее реакция на
многолетний треп о всемирном потеплении.


"
aforizmi,"Настурция победила на выставке цветов... пардон: нас Турция победила на
выставке цветов.


"
aforizmi,"Бди, но не бзди!


"
aforizmi,"Если женщина по тебе долго сохнет, искра твоей любви может ее просто
спалить.


"
aforizmi,"Я всегда говорил, что нужно предохраняться, особенно теперь, после
рождения пятого ребенка.


"
aforizmi,"""И дым отечества нам сладок и приятен"", говаривали Герострат с Нероном.
(С)Нестеренко


"
aforizmi,"Если раньше у нас все делалось в свете решений..., то теперь все
делается во мраке проблем.


"
aforizmi,"С такой улыбкой проще не стараться.


"
aforizmi,"Полный курс истории России, ее настоящего и будущего,
изложенный в предельно сжатой форме:

АРХИПЕЛАГ БАРДАК

(C) Segre Aris 02.11.2003


"
aforizmi,"меняю яркие воспоминания на свежие ощущения

М. Жванецкий


"
aforizmi,"Высшая степень утомленности от дурака - перезае#ал.


"
aforizmi,"Быстро поднятый Боинг не считается упавшим.


"
aforizmi,"Мне еще далеко до себя.


"
aforizmi,"Отстоим святое право выбора - быть счастливым во сне или страдать
бессонницей!


"
aforizmi,"Женщины не прощают нам наших ошибок - и даже своих собственных.


"
aforizmi,"Любовь и прогноз погоды - это единственное в чем нельзя быть уверенным!

Апатиты


"
aforizmi,"Если видеть в людях только хорошее, то как же тогда сваливать на них
свои ошибки.


"
aforizmi,"Форс мажора не боится!


"
aforizmi,"Сообщение пресс-секретаря Президента:
Вчера утром в Кремле состоялась встреча Президента с  ....

Накануне в Барвихе состоялась встреча Президента с  ....

Сегодня утром в ЦКБ состоялась встреча Президента с  ....

Днем в морге  состоялась встреча Президента с  ....


"
aforizmi,"""Кто живет по долгу службы, тот подолгу не живет."" Алла.

Аллаверды

""Кто живет подолгу, тот не служил."" Филя.

Алла! Верды. Зайка.

""Кто поет, тот не жил.""

Филя, отстань! Алла.


"
aforizmi,"Толпа - это такая организация, входя в которую люди добровольно лишают
себя добра и воли.


"
aforizmi,"У тебя зубы, как звезды на небе, такие же желтые и также далеки
друг от друга...


"
